chorus.host,LinuxServer,OSUptime,,chorus.host.LinuxServer.OSUptime,,,,,,,TRUE,getOSUptime,300,
chorus.host,LinuxServer,OSFileSystem,,chorus.host.LinuxServer.OSFileSystem,,,,,,,TRUE,getOSFileSystem,300,
chorus.host,LinuxServer,NetStat,,chorus.host.LinuxServer.NetStat,,,,,,,TRUE,getNetStat,300,
chorus.host,LinuxServer,NetStatSpeed,,chorus.host.LinuxServer.NetStatSpeed,,,,,,,TRUE,getNetStatSpeed,300,
chorus.host,LinuxServer,OSProcess,,chorus.host.LinuxServer.OSProcess,,,,,,,TRUE,getOSProcess,300,
chorus.host,LinuxServer,CPUInfo,,host.LinuxServerCPUInfo,,,,,,,,,,
chorus.host.LinuxServer,CPUInfo,Type,CPU型号,string,,,,,,,,,,
chorus.host.LinuxServer,CPUInfo,ClockSpeed,CPU主频,float,GHZ,,,,,,,,,
chorus.host.LinuxServer,DeviceLoad,DeviceLoadOneMinute,1分钟性能负载总和,float,,,,,,,,,,
chorus.host.LinuxServer,DeviceLoad,DeviceLoadFiveMinute,5分钟性能负载总和,float,,,,,,,,,,
chorus.host.LinuxServer,DeviceLoad,DeviceLoadFifteenMinute,15分钟性能负载总和,float,,,,,,,,,,
chorus.host.LinuxServer,DeviceLoad,DeviceLoadOneMinuteAvg,1分钟性能负载均值,float,,,,,,,,,,
chorus.host.LinuxServer,DeviceLoad,DeviceLoadFiveMinuteAvg,5分钟性能负载均值,float,,,,,,,,,,
chorus.host.LinuxServer,DeviceLoad,DeviceLoadFifteenMinuteAvg,15分钟性能负载均值,float,,,,,,,,,,
chorus.host.LinuxServer,Directory,DirectoryName,目录名,string,,,,,,,,,,
chorus.host.LinuxServer,Directory,DirectorySize,目录大小,long,byte,,,,,,,,,
chorus.host.LinuxServer,DiskCountInfo,OnLineDiskCount,在线硬盘数量,integer,,,,,,,,,,
chorus.host.LinuxServer,DiskCountInfo,ExceptionDiskCount,异常硬盘数量,integer,,,,,,,,,,
chorus.host.LinuxServer,DiskInfo,DiskCapacity,硬盘容量,float,GB,,,,,,,,,
chorus.host.LinuxServer,DiskInfo,DiskCount,硬盘数量,integer,,,,,,,,,,
chorus.host.LinuxServer,DiskStatisticInfo,DeviceID,设备ID,integer,,,,,,,,,,
chorus.host.LinuxServer,DiskStatisticInfo,SlotNumber,槽位号,integer,,,,,,,,,,
chorus.host.LinuxServer,DiskStatisticInfo,State,硬盘状态,integer,,,,,,,,,,
chorus.host.LinuxServer,DiskStatisticInfo,Index,索引,integer,,,,,,,,,,
chorus.host.LinuxServer,FileInfo,FileName,文件名,string,,,,,,,,,,
chorus.host.LinuxServer,FileInfo,FileSize,文件大小,int,byte,,,,,,,,,
chorus.host.LinuxServer,FileInfo,FileTime,最后修改时间,long,,,,,,,,,,
chorus.host.LinuxServer,FileInfo,IsModify,最近5分钟是否更改,boolean,,,,,,,,,,
chorus.host.LinuxServer,FileInfo,FileCount,文件数,integer,,,,,,,,,,
chorus.host.LinuxServer,FluxStatistic,InOctets,总入流量,float,KB/s,,,,,,,,,
chorus.host.LinuxServer,FluxStatistic,OutOctets,总出流量,float,KB/s,,,,,,,,,
chorus.host.LinuxServer,FluxStatistic,Octets,总流量,float,KB/s,,,,,,,,,
chorus.host.LinuxServer,InstallSoftware,Name,软件名称,string,,,,,,,,,,
chorus.host.LinuxServer,InstallSoftware,Signature,安装时间,long,s,,,,,,,,,
chorus.host.LinuxServer,LinuxAgentParameter,Port,Agent端口,integer,,"[0,65535]",9001,,FALSE,,,,,被管资源提供的Agent代理端口（TCP），一般为9001
chorus.host.LinuxServer,LinuxAgentParameter,Timeout,Agent连接超时,integer,毫秒,"[100,30000]",5000,,FALSE,,,,,通过代理访问被管资源时，系统等待被管资源返回的时间
chorus.host.LinuxServer,LinuxAgentParameter,Retries,重试次数,integer,,"[1,10]",3,,FALSE,,,,,系统在等待时间内没有获得被管资源的回应时，再重新尝试的次数
chorus.host.LinuxServer,LinuxAgentParameter,SystemType,系统类型,enum,,"[redhat_linux,Novell_Suse,redflag_linux,centos,kylin]",,,FALSE,,,,,被管资源提供的系统类型
chorus.host.LinuxServer,LinuxSSHParameter,Port,SSH端口,integer,,,,,,,,,,
chorus.host.LinuxServer,LinuxSSHParameter,User,SSH连接用户名,string,,,,,,,,,,
chorus.host.LinuxServer,LinuxSSHParameter,PWD,SSH连接密码,string,,,,,,,,,,
chorus.host.LinuxServer,LinuxSSHParameter,Timeout,SSH超时,integer,,,,,,,,,,
chorus.host.LinuxServer,LinuxSSHParameter,Retries,重试次数,integer,,,,,,,,,,
chorus.host.LinuxServer,LinuxSSHParameter,SystemType,系统类型,string,,,,,,,,,,
chorus.host.LinuxServer,OSCPU,CPU_Load,负载(%),integer,%,,,,,,,,,
chorus.host.LinuxServer,OSCPU,CPU_Idle,空闲率(%),integer,%,,,,,,,,,
chorus.host.LinuxServer,OSCPU,SysLoad,系统占用百分比(%),integer,%,,,,,,,,,
chorus.host.LinuxServer,OSCPU,UserLoad,用户占用百分比(%),integer,%,,,,,,,,,
chorus.host.LinuxServer,OSCPU,Backups,不可被唤醒的进程数,integer,,,,,,,,,,
chorus.host.LinuxServer,OSCPU,Runs,等待运行中的进程数,integer,,,,,,,,,,
